Date,KPN Close,AKZA Close,RAND Close,VPK Close,HEIA Close,Volume,%K 14day,%D 3,slow %D 3,RSI,ROC,momentum,OSCP,disparity 3,disparity 14,low 14,max 14,RS,ups,downs,ma 3,ma 14,output
01/09/2010,6.91468,47.750599,30.73,33.355,36.220001,10785393,93.20394568,97.41011188,93.66767552,74.05666983,103.4467385,0.04547,0.026126023,100.1317292,102.7477731,6.62366,6.9359,2.854555269,0,0.02122,6.905583333,6.729761429,6.92983
02/09/2010,6.92983,48.712502,31.375,32.84,35.455002,9179751,98.05598258,97.08664275,98.05740598,71.20379965,103.8145674,0.06366,0.026603728,100.043695,102.7052302,6.62366,6.9359,2.472680381,0.01515,0,6.926803333,6.7473,6.91771
03/09/2010,6.91771,48.5438,32.125,33.130001,35.825001,7468758,94.17435306,95.14476044,96.54717169,70.83311857,102.8854648,-0.01819,0.023078578,99.95621855,102.2630659,6.62366,6.9359,2.428546183,0,0.01212,6.92074,6.764622143,6.87224
06/09/2010,6.87224,49.151199,32.424999,33.389999,36.099998,7835280,79.61183705,90.61405756,94.28182025,62.82728843,102.7652333,-0.04244,0.019388441,99.5026009,101.4318012,6.62366,6.9359,1.690145426,0,0.04547,6.906593333,6.775232143,6.86617
07/09/2010,6.86617,48.813801,31.504999,33.535,35.790001,6984067,77.66781963,83.81800325,89.85894042,66.29790957,103.3773723,-0.06366,0.014343855,99.72109961,101.1514846,6.62366,6.9359,1.967174995,0,0.00607,6.885373333,6.788007143,6.87527
08/09/2010,6.87527,49.381901,31.735001,34.189999,36.880001,6679091,80.58224443,79.28730037,84.57312039,72.78068395,103.7986551,-0.04244,0.009779544,100.0588444,101.0373743,6.62366,6.9359,2.673861599,0.0091,0,6.871226667,6.80468,6.9268
09/09/2010,6.9268,50.501301,32.235001,34.049999,37.060001,6658540,96.93685203,85.06230536,82.72253632,77.77737052,103.8164552,0.05456,0.009240756,100.5426684,101.4717586,6.63882,6.9359,3.499917533,0.05153,0,6.889413333,6.826332857,6.90255
10/09/2010,6.90255,50.490002,32.525002,33.869999,37.174999,6340676,88.77406759,88.76438801,84.37133125,72.09297865,103.9725433,0.03638,0.008585785,100.0146344,100.8733385,6.63882,6.9359,2.583327606,0,0.02425,6.90154,6.842789286,6.91165
13/09/2010,6.91165,51.423801,32.98,34.41,37.509998,6253463,91.83721556,92.51604506,88.78091281,77.43830078,104.1096159,0.03638,0.007488698,99.97083072,100.7194821,6.63882,6.9359,3.432290274,0.0091,0,6.913666667,6.862277143,6.90558
14/09/2010,6.90558,51.8512,33.07,34.91,37.610001,6206445,89.58147206,90.06425174,90.44822827,76.50425244,103.9233214,-0.02122,0.003671078,99.98532803,100.352382,6.64488,6.9359,3.25608931,0,0.00607,6.906593333,6.881331429,6.9359
15/09/2010,6.9359,51.609402,32.689999,35.025002,37.450001,7554157,100,93.80622921,92.128842,77.58483412,100.970854,0.03335,0.002258934,100.2629483,100.4894356,6.86617,6.9359,3.461265223,0.03032,0,6.91771,6.902118571,6.93893
16/09/2010,6.93893,51.412498,32.23,34.009998,37.200001,7176064,100,96.52715735,93.46587943,61.38471587,101.0596883,0.02728,0.002852828,100.1750687,100.4608509,6.86617,6.93893,1.589648173,0.00303,0,6.926803333,6.907098571,6.88133
17/09/2010,6.88133,51.221199,32.855,34.064999,37.110001,16569061,20.83562397,73.61187466,87.98175374,52.10111986,99.21322395,-0.02425,0.00152552,99.45958212,99.61130974,6.86617,6.93893,1.087731481,0,0.0576,6.91872,6.908181429,6.91165
20/09/2010,6.91165,51.884998,33.369999,34.575001,37.685001,7446712,62.50687191,61.11416529,77.0843991,46.22685545,99.95618018,-0.02425,0.0006063,100.0146634,100.0753023,6.86617,6.93893,0.859664352,0.03032,0,6.910636667,6.906449286,6.88739
21/09/2010,6.88739,52.0369,33.779999,34.904999,37.380001,6863165,29.16437603,37.50229064,57.40944353,45.79364345,99.38757516,-0.05154,-0.00159944,99.91199384,99.7521906,6.86617,6.93893,0.844802093,0,0.02426,6.893456667,6.9045,6.85708
22/09/2010,6.85708,51.879398,33.584999,34.775002,37.174999,7997094,0,30.55708265,43.05784619,39.287292,99.12355389,-0.02425,-0.002019079,99.58908062,99.38800241,6.85708,6.93893,0.647101625,0,0.03031,6.885373333,6.899303571,6.86617
23/09/2010,6.86617,51.75,33,34.195,37.325001,8151005,11.10568112,13.42335238,27.16090856,42.34220849,99.91167363,-0.04548,-0.003684774,99.9411469,99.57288636,6.85708,6.93893,0.734370974,0.00909,0,6.870213333,6.895622143,6.91771
24/09/2010,6.91771,52.340599,33.595001,34.904999,37.509998,8083180,74.07452657,28.39340257,24.12461253,56.63621238,100.7506368,0.03032,-0.002688846,100.543434,100.2730882,6.85708,6.93893,1.306071621,0.05154,0,6.88032,6.89887,6.96621
27/09/2010,6.96621,52.6894,33.264999,35.23,37.455002,7402916,100,61.7267359,34.51449695,62.99153291,101.3227117,0.10913,0.001546616,100.7158523,100.871621,6.85708,6.96621,1.702084357,0.0485,0,6.916696667,6.906015714,6.97227
28/09/2010,6.97227,51.547501,33.139999,35.424999,37.549999,7805131,100,91.35817552,60.49277133,62.69699984,100.6564359,0.1061,0.005658811,100.2906571,100.858183,6.85708,6.97227,1.680749526,0.00606,0,6.952063333,6.912944286,6.90861
29/09/2010,6.90861,51.75,33.224998,35.450001,37.685001,10779969,44.73478601,81.578262,78.22105781,47.69226866,100.0877936,-0.0091,0.005408987,99.41833608,99.9560886,6.85708,6.97227,0.911763279,0,0.06366,6.94903,6.911645,6.8783
30/09/2010,6.8783,50.9119,33.325001,35.009998,38.040001,9641113,18.421738,54.385508,75.77398184,46.97003773,99.51748135,-0.08791,0.001420251,99.4013251,99.54249992,6.85708,6.97227,0.885726403,0,0.03031,6.919726667,6.909912857,6.95409
01/10/2010,6.95409,49.7756,33.105,34.82,37.48,11347023,84.21737998,49.12463466,61.69613489,54.54525982,100.7024754,-0.01818,0.000104497,100.5846873,100.5951981,6.85708,6.97227,1.199990575,0.07579,0,6.913666667,6.912944286,6.89043
04/10/2010,6.89043,49.730598,32.700001,34.82,37.244999,7247062,28.95216599,43.86376132,49.12463466,48.55562971,99.34442538,-0.01818,-0.000615677,99.75133693,99.6899223,6.85708,6.97227,0.943847294,0,0.06366,6.907606667,6.911862143,6.92983
05/10/2010,6.92983,50.355,33.709999,35.060001,37.325001,9047630,63.156524,58.77535666,50.58791755,49.43114726,99.86885586,0.05153,0.001932272,100.0728783,100.2662464,6.85708,6.97227,0.977501853,0.0394,0,6.924783333,6.911428571,6.9268
06/10/2010,6.9268,50.6306,34.939999,35.695,37.445,9720512,60.52608733,50.87825911,51.17245903,48.86323168,100.6607734,-0.02729,0.000741549,100.1606975,100.2349716,6.85708,6.97227,0.95554008,0,0.00303,6.915686667,6.910562143,6.99349
07/10/2010,6.99349,50.731899,35.009998,34.985001,37.494999,8634703,100,74.56087045,61.40482874,60.3350411,101.1840877,0.10306,0.004548109,100.6251763,101.0828306,6.85708,6.99349,1.521116945,0.06669,0,6.95004,6.918573571,6.93893
08/10/2010,6.93893,50.625,35.424999,34.889999,37.544998,8897212,60.00293234,73.50967322,66.31626759,52.40623787,100.7483241,0.0091,0.004703574,99.79658875,100.2659894,6.85708,6.99349,1.101115683,0,0.05456,6.953073333,6.920522143,6.92377
11/10/2010,6.92377,50.011902,35.59,34.970001,37.73,5579535,48.88937761,69.63076998,72.56710455,53.26125932,100.9725714,-0.00303,0.004180574,99.5930225,100.0093785,6.85708,6.99349,1.139552725,0,0.01516,6.952063333,6.923120714,6.83586
12/10/2010,6.83586,49.741901,35.375,35.25,37.764999,11945253,0,36.29743665,59.81262662,48.27580603,99.5585603,-0.15763,-0.003190734,99.07732712,98.76119773,6.83586,6.99349,0.933331239,0,0.08791,6.89952,6.921605,6.92377
