KPN Close,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
2.773,17237738,2.7233,0.045607,83.720001,1.05933,-1
2.693,21724387,2.722,-0.040445,83.029999,1.0749,-1
2.565,67443132,2.7103,-0.113588,83.889999,1.06285,1
2.634,22368951,2.7017,-0.048189,84.07,1.0749,1
2.72,19410001,2.6997,0.021514,86.669998,1.0749,-1
2.717,14468636,2.7017,-0.006884,85.190002,1.08805,-1
2.69,13512027,2.7017,-0.098959,85.080002,1.09528,-1
2.669,13373823,2.6991,-0.104,86.239998,1.09528,-1
2.608,56514422,2.6874,-0.085,85.279999,1.1027,1
2.634,19695054,2.6703,0.069,85.900002,1.1027,-1
2.589,13252721,2.6519,-0.045,85.309998,1.1014,1
2.616,11537088,2.6442,-0.104,85,1.11567,1
2.707,14077345,2.6584,-0.01,84.879997,1.11011,-1
2.67,16940832,2.662,-0.02,82.769997,1.11567,1
2.698,13664940,2.6598,0.029,79.120003,1.10826,1
2.712,12220025,2.6593,0.104,81.059998,1.11048,-1
2.706,16831939,2.6609,0.072,81.400002,1.15644,-1
2.659,10269929,2.6599,0.07,81.870003,1.1531,-1
2.612,13650653,2.6603,-0.004,81.029999,1.162,-1
2.594,16346579,2.6563,-0.113,81.300003,1.16015,-1
2.585,10679011,2.6559,-0.085,81.5,1.16756,-1
2.527,17065166,2.647,-0.171,78.089996,1.1494,1
2.577,16632655,2.634,-0.135,79.150002,1.16756,1
2.587,12543955,2.6257,-0.119,81.239998,1.16422,1
2.64,17965219,2.6199,-0.019,84.580002,1.11567,-1
2.616,13954540,2.6103,0.004,82.010002,1.09751,1
2.63,15393073,2.6027,0.036,79.300003,1.01967,1
2.66,11391249,2.6028,0.075,79.919998,1.04524,1
2.67,13306017,2.6086,0.143,79.830002,1.05636,-1
2.666,13687634,2.6158,0.089,80.910004,1.03524,-1
2.595,21365703,2.6168,0.008,80.230003,1.11196,1
2.637,12840338,2.6278,-0.003,81.449997,1.13049,1
2.69,10584793,2.6391,0.074,81.129997,1.18609,-1
2.683,12292806,2.6487,0.053,80.269997,1.22872,-1
2.65,14390313,2.6497,-0.01,80.919998,1.19721,1
2.663,46217172,2.6544,-0.007,82.730003,1.19795,-1
2.551,28896247,2.6465,-0.115,82.769997,1.15644,-1
2.538,22618838,2.6343,-0.057,83.910004,1.16015,-1
2.511,18833792,2.6184,-0.126,84.660004,1.1746,-1
2.487,20029588,2.6005,-0.203,84.230003,1.19351,1
2.565,19120897,2.5975,-0.118,84.400002,1.17497,-1
2.565,14549112,2.5903,-0.085,84.540001,1.19869,1
2.59,30938601,2.5803,-0.073,86.410004,1.1898,1
2.611,23102727,2.5731,0.06,85.599998,1.18053,-1
2.53,24615364,2.5611,-0.008,85.910004,1.162,-1
2.516,20153208,2.5464,0.005,86.150002,1.11715,-1
2.516,13222615,2.5429,0.029,86.900002,1.2454,-1
2.477,17950556,2.5368,-0.088,85.830002,1.30618,1
2.505,14606047,2.5362,-0.06,85.110001,1.31953,-1
2.485,10420049,2.536,-0.105,84.730003,1.31582,-1
2.435,20628539,2.523,-0.176,83.309998,1.31397,-1
2.416,26416735,2.5081,-0.114,81.480003,1.31656,-1
2.361,21170604,2.4852,-0.155,81.860001,1.31953,1
2.412,15734481,2.4653,-0.104,82.489998,1.31953,1
2.467,19120942,2.459,-0.01,84.589996,1.33917,1
2.496,16752012,2.457,-0.009,85.230003,1.40107,1
2.497,11972709,2.4551,0.012,84.449997,1.48262,1
2.511,17552960,2.4585,0.076,82.300003,1.53451,-1
2.464,18942312,2.4544,0.048,78.959999,1.54822,-1
2.448,11383333,2.4507,0.087,79.43,1.53451,1
2.513,11478121,2.4585,0.101,80.589996,1.52413,1
2.562,19349067,2.4731,0.095,80.699997,1.52672,1
2.637,27256495,2.5007,0.141,79.919998,1.54377,-1
2.61,14646981,2.5205,0.113,80.07,1.55675,-1
2.6,17664326,2.5338,0.089,78.089996,1.60938,-1
2.6,12503187,2.5442,0.136,76.669998,1.63051,-1
2.573,15128206,2.5518,0.125,76.669998,1.60827,1
2.583,10193638,2.559,0.07,77.089996,1.62161,1
2.644,13874864,2.577,0.082,78.900002,1.66424,-1
2.644,11990438,2.5966,0.007,78.230003,1.66479,1
2.664,13061564,2.6117,0.054,78,1.642,-1
2.623,15645570,2.6178,0.023,77.480003,1.67906,1
2.647,16800048,2.6188,0.047,76.720001,1.71594,1
2.669,9711159,2.6247,0.096,77.779999,1.72502,-1
2.653,13498286,2.63,0.07,79.199997,1.77914,-1
2.632,10396561,2.6332,-0.012,77.639999,1.8403,1
2.639,10717711,2.6398,-0.005,77.660004,1.85327,1
2.672,12604991,2.6487,0.008,77.300003,1.89033,1
2.694,5602812,2.6537,0.071,78.410004,1.89886,1
2.729,25796178,2.6622,0.082,80,1.9122,1
2.731,12053184,2.6689,0.062,80.699997,1.89404,-1
2.701,10862435,2.6767,0.048,80.120003,1.91888,1
2.711,19580258,2.6831,0.079,79.650002,1.97559,-1
2.666,14810270,2.6828,0.027,79.459999,2.02006,-1
2.634,11943154,2.6809,-0.038,80.32,2.05342,1
2.637,10649977,2.6814,-0.057,80.900002,2.05713,-1
2.629,17770443,2.6804,-0.1,81.910004,2.05528,1
2.759,39061177,2.6891,0.028,82.160004,2.08233,-1
2.736,13447017,2.6933,0.035,81.959999,2.07566,1
2.759,13738003,2.6963,0.048,83.580002,2.06084,-1
2.736,13742637,2.6968,0.07,82.739998,1.93852,-1
2.723,7331842,2.699,0.089,82.599998,1.93852,1
2.748,12858784,2.7027,0.111,82.540001,1.96447,-1
2.723,15532806,2.7084,0.094,82.5,1.93667,1
2.769,17414413,2.7219,0.01,82.209999,1.94482,-1
2.759,16234667,2.7341,0.023,81.419998,1.94111,-1
2.736,16050260,2.7448,-0.023,80.790001,1.95038,-1
2.718,20345241,2.7407,-0.018,78.470001,1.96521,-1
2.683,8726157,2.7354,-0.04,77.089996,1.96447,-1
2.675,8700727,2.727,-0.073,77.419998,1.89033,1
2.68,12315317,2.7214,-0.043,76.150002,1.88996,-1
2.604,19355685,2.7095,-0.165,75.150002,1.89033,1
2.658,13602912,2.7005,-0.101,75.050003,1.88477,1
2.661,14289915,2.6943,-0.075,75.699997,1.88589,-1
2.638,10669194,2.6812,-0.08,76.410004,1.88292,-1
2.587,46365491,2.664,-0.096,76.279999,1.83974,1
2.594,24406969,2.6498,-0.081,77.050003,1.83103,-1
2.533,14803489,2.6313,-0.147,77.129997,1.82139,-1
2.461,22040334,2.6091,-0.143,75.139999,1.7986,-1
2.417,16694863,2.5833,-0.241,74.739998,1.76098,1
2.453,15521235,2.5606,-0.208,77,1.74207,-1
2.38,22796640,2.5382,-0.258,74.709999,1.72317,-1
